id;set;set_code;name;number;rarity;tcg_url;variation
82;Base Set;bas;Maintenance;83;Uncommon;https://shop.tcgplayer.com/pokemon/base-set/maintenance;Unlimited
83;Base Set;bas;PlusPower;84;Uncommon;https://shop.tcgplayer.com/pokemon/base-set/pluspower;Unlimited
84;Base Set;bas;Pokemon Center;85;Uncommon;https://shop.tcgplayer.com/pokemon/base-set/pokemon-center;Unlimited
85;Base Set;bas;Pokemon Flute;86;Uncommon;https://shop.tcgplayer.com/pokemon/base-set/pokemon-flute;Unlimited
86;Base Set;bas;Pokedex;87;Uncommon;https://shop.tcgplayer.com/pokemon/base-set/pokedex;Unlimited
87;Base Set;bas;Professor Oak;88;Uncommon;https://shop.tcgplayer.com/pokemon/base-set/professor-oak;Unlimited
88;Base Set;bas;Revive;89;Uncommon;https://shop.tcgplayer.com/pokemon/base-set/revive;Unlimited
89;Base Set;bas;Super Potion;90;Uncommon;https://shop.tcgplayer.com/pokemon/base-set/super-potion;Unlimited
90;Base Set;bas;Bill;91;Common;https://shop.tcgplayer.com/pokemon/base-set/bill;Unlimited
91;Base Set;bas;Energy Removal;92;Common;https://shop.tcgplayer.com/pokemon/base-set/energy-removal;Unlimited
92;Base Set;bas;Gust of Wind;93;Common;https://shop.tcgplayer.com/pokemon/base-set/gust-of-wind;Unlimited
93;Base Set;bas;Potion;94;Common;https://shop.tcgplayer.com/pokemon/base-set/potion;Unlimited
94;Base Set;bas;Switch;95;Common;https://shop.tcgplayer.com/pokemon/base-set/switch;Unlimited
95;Base Set;bas;Double Colorless Energy;96;Uncommon;https://shop.tcgplayer.com/pokemon/base-set/double-colorless-energy;Unlimited
96;Base Set;bas;Fighting Energy;97;Common;https://shop.tcgplayer.com/pokemon/base-set/fighting-energy;Unlimited
97;Base Set;bas;Fire Energy;98;Common;https://shop.tcgplayer.com/pokemon/base-set/fire-energy;Unlimited
98;Base Set;bas;Grass Energy;99;Common;https://shop.tcgplayer.com/pokemon/base-set/grass-energy;Unlimited
99;Base Set;bas;Lightning Energy;100;Common;https://shop.tcgplayer.com/pokemon/base-set/lightning-energy;Unlimited
100;Base Set;bas;Psychic Energy;101;Common;https://shop.tcgplayer.com/pokemon/base-set/psychic-energy;Unlimited
101;Base Set;bas;Water Energy;102;Common;https://shop.tcgplayer.com/pokemon/base-set/water-energy;Unlimited
